                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 0.5562,                0.29294,                0.80213,                0.65377,                0.73531,                  0.712,                0.53541,                0.61574,                0.36449,                0.83401,              0.0004555,              0.0004555,              0.0004555
                     57,                0.56043,                0.29464,                0.80299,                0.90763,                0.65182,                0.72943,                0.54912,                0.60781,                0.34436,                 0.8289,              0.0004456,              0.0004456,              0.0004456
                     58,                0.56217,                0.29506,                0.80297,                0.67983,                0.73313,                0.70853,                0.54142,                 0.6044,                0.34078,                0.82689,              0.0004357,              0.0004357,              0.0004357
                     59,                0.56912,                0.29775,                0.80295,                0.69078,                 0.7318,                0.72526,                0.55381,                0.57289,                0.31448,                0.81806,              0.0004258,              0.0004258,              0.0004258
                     60,                0.56059,                0.29265,                0.80286,                0.86433,                0.66048,                0.73113,                0.56393,                0.57918,                0.30882,                0.81829,              0.0004159,              0.0004159,              0.0004159
                     61,                0.56133,                0.29222,                0.80205,                0.89667,                0.65467,                0.73417,                0.56291,                0.57517,                0.30878,                0.81654,               0.000406,               0.000406,               0.000406
                     62,                0.54595,                0.28714,                0.79969,                0.70401,                0.72583,                0.73102,                0.56514,                0.56899,                0.30191,                0.81615,              0.0003961,              0.0003961,              0.0003961
                     63,                0.55126,                0.29023,                0.80103,                0.84478,                0.64622,                 0.7227,                0.55442,                0.57565,                0.30834,                0.82099,              0.0003862,              0.0003862,              0.0003862
                     64,                0.55918,                0.29349,                0.80187,                0.66634,                0.75066,                0.71387,                0.55195,                 0.5746,                0.30461,                0.81843,              0.0003763,              0.0003763,              0.0003763
                     65,                0.54713,                 0.2858,                0.79994,                0.70204,                0.71969,                0.71509,                0.55304,                0.58279,                0.30951,                0.81875,              0.0003664,              0.0003664,              0.0003664
                     66,                0.54133,                0.28467,                0.79927,                0.86427,                0.65828,                0.73103,                 0.5637,                0.57258,                0.30221,                0.81722,              0.0003565,              0.0003565,              0.0003565
                     67,                 0.5522,                0.28789,                0.80036,                0.70004,                0.73079,                0.72238,                0.55636,                0.58473,                0.31353,                0.82101,              0.0003466,              0.0003466,              0.0003466
                     68,                0.54575,                0.28463,                0.79899,                  0.931,                0.66696,                0.74195,                0.56773,                0.57829,                0.29926,                0.81607,              0.0003367,              0.0003367,              0.0003367
                     69,                0.53401,                0.28243,                0.79768,                0.70178,                0.72735,                0.70991,                0.55065,                0.57662,                0.30642,                0.81962,              0.0003268,              0.0003268,              0.0003268
                     70,                0.53488,                0.28128,                0.79747,                0.69733,                0.72916,                0.72587,                0.55949,                0.58529,                0.31114,                 0.8203,              0.0003169,              0.0003169,              0.0003169
                     71,                0.54461,                0.28531,                0.79967,                0.70494,                0.73517,                0.72695,                0.56457,                0.57309,                0.30075,                 0.8169,               0.000307,               0.000307,               0.000307
                     72,                0.54282,                0.28325,                0.79923,                 0.9212,                0.68547,                 0.7519,                0.57758,                0.56975,                0.29366,                0.81668,              0.0002971,              0.0002971,              0.0002971
                     73,                0.54108,                0.28265,                0.79916,                0.70412,                0.74041,                0.69379,                0.54388,                0.57644,                0.30045,                0.81953,              0.0002872,              0.0002872,              0.0002872
                     74,                0.54139,                0.28411,                0.80022,                0.70436,                0.73374,                0.72421,                0.56255,                0.57348,                0.29816,                0.81902,              0.0002773,              0.0002773,              0.0002773
